!
! radius 
! arcsec  MEAN         Mag      MagCorr      Lum
!====================================================================
   90.00 1432.07263   20.2484	20.8419     1.2134465e+02   
   91.00 1426.25659   20.2793	20.8728     1.1794138e+02   
   92.00 1421.50317   20.3052	20.8987     1.1515990e+02   
   93.00 1416.94714   20.3307	20.9242     1.1249393e+02   
   94.00 1414.15930   20.3465	20.9400     1.1086262e+02   
   95.00 1412.42346   20.3565	20.9500     1.0984689e+02   
   96.00 1410.46790   20.3679	20.9614     1.0870259e+02   
   97.00 1410.48169   20.3678	20.9613     1.0871066e+02   
   98.00 1408.38281   20.3801	20.9737     1.0748249e+02   
   99.00 1405.32336   20.3984	20.9919     1.0569224e+02   
  100.00 1400.86328   20.4255	21.0190     1.0308242e+02   
  101.00 1397.19739   20.4483	21.0419     1.0093731e+02   
  102.00 1394.81946   20.4634	21.0569     9.9545860e+01   
  103.00 1390.50134   20.4913	21.0849     9.7019100e+01   
  104.00 1387.71375   20.5097	21.1033     9.5387934e+01   
  105.00 1385.69556   20.5233	21.1168     9.4206985e+01   
  106.00 1383.22620   20.5400	21.1336     9.2762033e+01   
  107.00 1380.24219   20.5607	21.1542     9.1015931e+01   
  108.00 1377.25159   20.5818	21.1753     8.9265974e+01   
  109.00 1374.86353   20.5989	21.1924     8.7868594e+01   
  110.00 1372.26685   20.6178	21.2114     8.6349140e+01   
  111.00 1369.85962   20.6357	21.2292     8.4940543e+01   
  112.00 1367.74316   20.6516	21.2452     8.3702090e+01   
  113.00 1366.23926   20.6631	21.2566     8.2822079e+01   
  114.00 1365.67993   20.6674	21.2609     8.2494786e+01   
  115.00 1365.95386   20.6653	21.2588     8.2655077e+01   
  116.00 1366.46362   20.6614	21.2549     8.2953364e+01   
  117.00 1365.95789   20.6653	21.2588     8.2657435e+01   
  118.00 1364.60510   20.6757	21.2692     8.1865846e+01   
  119.00 1363.81360   20.6819	21.2754     8.1402698e+01   
  120.00 1361.82031   20.6975	21.2911     8.0236319e+01   
  121.00 1359.95544   20.7124	21.3059     7.9145085e+01   
  122.00 1358.51208   20.7241	21.3176     7.8300499e+01   
  123.00 1356.76001   20.7384	21.3319     7.7275271e+01   
  124.00 1354.88855   20.7539	21.3474     7.6180181e+01   
  125.00 1353.61780   20.7645	21.3580     7.5436598e+01   
  126.00 1352.10669   20.7773	21.3708     7.4552368e+01   
  127.00 1350.12720   20.7943	21.3878     7.3394064e+01   
  128.00 1348.10608   20.8120	21.4055     7.2211401e+01   
  129.00 1346.11926   20.8296	21.4231     7.1048808e+01   
  130.00 1343.98511   20.8488	21.4424     6.9800004e+01   
  131.00 1341.92505   20.8677	21.4613     6.8594554e+01   
  132.00 1340.36780   20.8823	21.4758     6.7683325e+01   
  133.00 1338.84155   20.8967	21.4902     6.6790236e+01   
  134.00 1337.54248   20.9091	21.5026     6.6030082e+01   
  135.00 1335.83130   20.9257	21.5192     6.5028780e+01   
  136.00 1334.17151   20.9420	21.5356     6.4057550e+01   
  137.00 1332.72278   20.9565	21.5500     6.3209821e+01   
  138.00 1331.23718   20.9715	21.5651     6.2340519e+01   
  139.00 1330.11182   20.9831	21.5766     6.1682011e+01   
  140.00 1329.13074   20.9932	21.5868     6.1107930e+01   
  141.00 1328.32495   21.0016	21.5952     6.0636419e+01   
  142.00 1327.39795   21.0114	21.6049     6.0093983e+01   
  143.00 1326.07556   21.0255	21.6190     5.9320183e+01   
  144.00 1324.13611   21.0464	21.6400     5.8185308e+01   
  145.00 1322.22522   21.0675	21.6610     5.7067146e+01   
  146.00 1321.00830   21.0811	21.6747     5.6355062e+01   
  147.00 1319.55908   21.0976	21.6911     5.5507047e+01   
  148.00 1317.74524   21.1186	21.7121     5.4445674e+01   
  149.00 1316.51270   21.1330	21.7266     5.3724450e+01   
  150.00 1315.14172   21.1494	21.7429     5.2922217e+01   
  151.00 1313.66187   21.1673	21.7608     5.2056279e+01   
  152.00 1312.29443   21.1841	21.7776     5.1256118e+01   
  153.00 1311.16162   21.1982	21.7918     5.0593251e+01   
  154.00 1310.07678   21.2120	21.8055     4.9958454e+01   
  155.00 1309.11938   21.2242	21.8177     4.9398229e+01   
  156.00 1307.63501   21.2435	21.8370     4.8529646e+01   
  157.00 1306.11426   21.2635	21.8571     4.7639775e+01   
  158.00 1304.81628   21.2810	21.8745     4.6880258e+01   
  159.00 1303.97681   21.2924	21.8860     4.6389040e+01   
  160.00 1302.58325   21.3117	21.9052     4.5573595e+01   
  161.00 1301.32764   21.3293	21.9229     4.4838871e+01   
  162.00 1300.51392   21.3409	21.9345     4.4362721e+01   
  163.00 1299.87317   21.3501	21.9437     4.3987784e+01   
  164.00 1299.39868   21.3570	21.9505     4.3710135e+01   
  165.00 1298.43079   21.3712	21.9647     4.3143772e+01   
  166.00 1297.79224   21.3806	21.9741     4.2770122e+01   
  167.00 1297.25903   21.3886	21.9821     4.2458113e+01   
  168.00 1297.02087   21.3921	21.9857     4.2318753e+01   
  169.00 1295.93591   21.4086	22.0021     4.1683886e+01   
  170.00 1294.27710   21.4341	22.0277     4.0713229e+01   
  171.00 1293.48047   21.4466	22.0402     4.0247078e+01   
  172.00 1292.29944   21.4654	22.0590     3.9555996e+01   
  173.00 1291.40344   21.4799	22.0735     3.9031699e+01   
  174.00 1290.47595   21.4951	22.0887     3.8488976e+01   
  175.00 1289.28406   21.5150	22.1085     3.7791538e+01   
  176.00 1288.46924   21.5288	22.1223     3.7314744e+01   
  177.00 1287.42676   21.5467	22.1402     3.6704734e+01   
  178.00 1286.30994   21.5662	22.1597     3.6051224e+01   
  179.00 1285.34387   21.5833	22.1769     3.5485925e+01   
  180.00 1284.70862   21.5948	22.1883     3.5114207e+01   
  181.00 1283.91431   21.6092	22.2028     3.4649414e+01   
  182.00 1283.01282   21.6259	22.2194     3.4121905e+01   
  183.00 1282.21533   21.6408	22.2344     3.3655252e+01   
  184.00 1281.72839   21.6501	22.2436     3.3370317e+01   
  185.00 1281.13318   21.6615	22.2550     3.3022029e+01   
  186.00 1280.59546   21.6719	22.2654     3.2707380e+01   
  187.00 1279.84485   21.6865	22.2801     3.2268159e+01   
  188.00 1279.10657   21.7012	22.2947     3.1836152e+01   
  189.00 1278.45618   21.7142	22.3078     3.1455575e+01   
  190.00 1277.95422   21.7244	22.3179     3.1161852e+01   
  191.00 1277.49658   21.7338	22.3273     3.0894062e+01   
  192.00 1276.86365   21.7469	22.3404     3.0523702e+01   
  193.00 1276.74426   21.7494	22.3429     3.0453840e+01   
  194.00 1276.43567   21.7558	22.3494     3.0273268e+01   
  195.00 1276.69543   21.7504	22.3439     3.0425267e+01   
  196.00 1276.02502   21.7645	22.3580     3.0032975e+01   
  197.00 1275.29724   21.7800	22.3735     2.9607113e+01   
  198.00 1274.90747   21.7884	22.3819     2.9379038e+01   
  199.00 1274.65942   21.7938	22.3873     2.9233890e+01   
  200.00 1274.12842   21.8054	22.3989     2.8923174e+01   
  201.00 1273.27637   21.8242	22.4178     2.8424595e+01   
  202.00 1272.59961   21.8395	22.4330     2.8028587e+01   
  203.00 1271.68726   21.8603	22.4539     2.7494723e+01   
  204.00 1270.94934   21.8775	22.4711     2.7062927e+01   
  205.00 1270.48145   21.8886	22.4821     2.6789140e+01   
  206.00 1270.14917   21.8965	22.4900     2.6594705e+01   
  207.00 1269.75220   21.9060	22.4995     2.6362417e+01   
  208.00 1269.09241   21.9220	22.5156     2.5976340e+01   
  209.00 1268.79822   21.9292	22.5228     2.5804193e+01   
  210.00 1268.44788   21.9379	22.5314     2.5599191e+01   
  211.00 1268.29895   21.9416	22.5351     2.5512044e+01   
  212.00 1267.92102   21.9511	22.5446     2.5290898e+01   
  213.00 1267.48596   21.9620	22.5556     2.5036321e+01   
  214.00 1267.04932   21.9732	22.5667     2.4780820e+01   
  215.00 1266.40186   21.9899	22.5834     2.4401957e+01   
  216.00 1266.38123   21.9904	22.5840     2.4389885e+01   
  217.00 1266.06970   21.9986	22.5921     2.4207593e+01   
  218.00 1266.46130   21.9884	22.5819     2.4436738e+01   
  219.00 1267.18176   21.9698	22.5633     2.4858318e+01   
  220.00 1266.49243   21.9876	22.5811     2.4454954e+01   
  221.00 1265.72852   22.0076	22.6011     2.4007950e+01   
  222.00 1264.41882   22.0428	22.6363     2.3241576e+01   
  223.00 1263.71521   22.0622	22.6557     2.2829856e+01   
  224.00 1263.15369   22.0780	22.6715     2.2501281e+01   
  225.00 1262.43115   22.0985	22.6921     2.2078485e+01   
  226.00 1262.24097   22.1040	22.6976     2.1967201e+01   
  227.00 1261.94421   22.1127	22.7062     2.1793551e+01   
  228.00 1261.77405   22.1176	22.7112     2.1693981e+01   
  229.00 1261.64294   22.1215	22.7150     2.1617262e+01   
  230.00 1261.20508   22.1344	22.7279     2.1361047e+01   
  231.00 1261.02734   22.1397	22.7332     2.1257042e+01   
  232.00 1260.84924   22.1451	22.7386     2.1152826e+01   
  233.00 1260.84265   22.1452	22.7388     2.1148970e+01   
  234.00 1260.34143   22.1604	22.7539     2.0855680e+01   
  235.00 1259.77100   22.1779	22.7715     2.0521891e+01   
  236.00 1259.23694   22.1946	22.7881     2.0209385e+01   
  237.00 1259.08496   22.1994	22.7929     2.0120453e+01   
  238.00 1259.18799   22.1961	22.7897     2.0180741e+01   
