! radius
! arcsec   MEAN         MAG      MAGCORR  LUM
!===================================================
  122.00  1391.25635   20.4864   21.1555   90.9070
  123.00  1390.99329   20.4881   21.1572   90.7634
  124.00  1391.25171   20.4864   21.1555   90.9044
  125.00  1388.39075   20.5052   21.1743   89.3429
  126.00  1385.95361   20.5215   21.1906   88.0127
  127.00  1384.19031   20.5335   21.2026   87.0503
  128.00  1382.45508   20.5453   21.2145   86.1032
  129.00  1381.70312   20.5505   21.2196   85.6928
  130.00  1380.20886   20.5609   21.2300   84.8772
  131.00  1378.35352   20.5739   21.2431   83.8646
  132.00  1377.53577   20.5797   21.2488   83.4182
  133.00  1375.77966   20.5923   21.2614   82.4597
  134.00  1375.24646   20.5961   21.2652   82.1687
  135.00  1373.30737   20.6102   21.2793   81.1104
  136.00  1371.40417   20.6242   21.2933   80.0716
  137.00  1370.74951   20.6290   21.2982   79.7143
  138.00  1369.46570   20.6386   21.3077   79.0136
  139.00  1369.45410   20.6387   21.3078   79.0072
  140.00  1367.89978   20.6504   21.3196   78.1589
  141.00  1365.48804   20.6689   21.3380   76.8425
  142.00  1364.29895   20.6781   21.3472   76.1935
  143.00  1362.03101   20.6959   21.3650   74.9557
  144.00  1360.58435   20.7074   21.3765   74.1661
  145.00  1359.98230   20.7122   21.3813   73.8375
  146.00  1358.12390   20.7272   21.3963   72.8232
  147.00  1356.40540   20.7413   21.4104   71.8852
  148.00  1355.67285   20.7473   21.4165   71.4854
  149.00  1357.91492   20.7289   21.3980   72.7091
  150.00  1364.38171   20.6775   21.3466   76.2387
  151.00  1364.98279   20.6728   21.3419   76.5668
  152.00  1372.39392   20.6169   21.2860   80.6118
  153.00  1375.17590   20.5966   21.2657   82.1302
  154.00  1370.20850   20.6331   21.3022   79.4190
  155.00  1352.77087   20.7717   21.4408   69.9015
  156.00  1343.87280   20.8499   21.5190   65.0449
  157.00  1364.43286   20.6771   21.3462   76.2666
  158.00  1353.54675   20.7651   21.4342   70.3250
  159.00  1348.56311   20.8079   21.4771   67.6049
  160.00  1345.62646   20.8340   21.5031   66.0020
