"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","Amp  (A) [µM]","Amp - slope  (A) [pmol/(s*ml)]","Amp  (B) [µM]","Amp - slope  (B) [pmol/(s*ml)]"
900.00,"c57, 3xTg, LOff","Left, Right, Both","Light off",176.2760,4.4044,177.3702,4.8065,-0.4579,0.0200,-0.4391,0.0243
902.00,"","","",176.2259,4.6046,177.3857,4.7548,-0.4581,0.0200,-0.4388,0.0243
904.00,"","","",176.2159,4.7047,177.3806,4.7031,-0.4579,0.0200,-0.4381,0.0277
906.00,"","","",176.2259,4.7547,177.3547,4.6515,-0.4577,0.0180,-0.4377,0.0312
908.00,"","","",176.2209,4.8048,177.3237,4.5998,-0.4575,0.0180,-0.4381,0.0347
910.00,"","","",176.2259,4.8548,177.3289,4.5481,-0.4569,0.0180,-0.4381,0.0312
912.00,"","","",176.2309,4.9049,177.3340,4.4964,-0.4571,0.0180,-0.4384,0.0312
914.00,"","","",176.2309,4.8548,177.3340,4.4447,-0.4573,0.0180,-0.4374,0.0347
916.00,"","","",176.2059,4.8048,177.3392,4.3930,-0.4575,0.0160,-0.4377,0.0347
918.00,"","","",176.1909,4.8048,177.3185,4.3414,-0.4575,0.0160,-0.4377,0.0381
920.00,"","","",176.1859,4.8548,177.2772,4.3414,-0.4575,0.0160,-0.4381,0.0381
922.00,"","","",176.1508,4.9049,177.2669,4.3930,-0.4575,0.0160,-0.4384,0.0347
924.00,"","","",176.1358,4.9549,177.3082,4.2897,-0.4575,0.0140,-0.4388,0.0312
926.00,"","","",176.1358,4.9549,177.3082,4.1346,-0.4577,0.0140,-0.4388,0.0277
928.00,"","","",176.1508,4.9549,177.3082,3.9796,-0.4575,0.0140,-0.4388,0.0277
930.00,"","","",176.1608,4.9049,177.3134,3.8245,-0.4575,0.0120,-0.4391,0.0243
932.00,"","","",176.1358,4.8548,177.3185,3.6695,-0.4575,0.0120,-0.4398,0.0208
934.00,"","","",176.1108,4.8548,177.3289,3.4111,-0.4575,0.0120,-0.4384,0.0208
936.00,"","","",176.0958,4.9049,177.2927,3.2560,-0.4575,0.0120,-0.4384,0.0173
938.00,"","","",176.0858,4.8548,177.2772,3.1527,-0.4569,0.0100,-0.4391,0.0173
940.00,"","","",176.0958,4.8048,177.2772,3.1010,-0.4569,0.0100,-0.4388,0.0139
942.00,"","","",176.0958,4.8048,177.2720,3.1010,-0.4579,0.0080,-0.4384,0.0139
944.00,"","","",176.0808,4.7547,177.2669,3.0493,-0.4577,0.0060,-0.4377,0.0139
946.00,"","","",176.0507,4.7547,177.2565,2.9976,-0.4575,0.0060,-0.4374,0.0139
948.00,"","","",176.0207,4.8048,177.2462,2.8942,-0.4573,0.0060,-0.4377,0.0173
