"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","TMRM  (A) [µM]","TMRM  (B) [µM]","mtMPrel (A)  [au]","mtMPrel  (B)  [au]"
900.00,"LOff, c57, 3xTg","Both, Left, Right","Light off, , ",178.5383,1.3786,180.2069,1.5250,0.0394,0.0241,-0.0004,0.0002
902.00,"","","",178.5285,1.4771,180.2425,1.4742,0.0394,0.0234,-0.0004,-0.0001
904.00,"","","",178.5235,1.6248,180.2578,1.3725,0.0396,0.0234,-0.0003,-0.0001
906.00,"","","",178.5383,1.7232,180.2527,1.3217,0.0396,0.0231,-0.0003,-0.0002
908.00,"","","",178.5580,1.7725,180.2476,1.3217,0.0396,0.0234,-0.0003,-0.0001
910.00,"","","",178.5432,1.7725,180.2578,1.2709,0.0396,0.0231,-0.0003,-0.0002
912.00,"","","",178.5285,1.8217,180.2425,1.2200,0.0396,0.0230,-0.0003,-0.0003
914.00,"","","",178.5235,1.9202,180.2527,1.1184,0.0397,0.0233,-0.0003,-0.0002
916.00,"","","",178.5137,2.0187,180.3188,0.9150,0.0398,0.0230,-0.0002,-0.0003
918.00,"","","",178.5186,2.0679,180.3493,0.6608,0.0401,0.0231,0.0000,-0.0002
920.00,"","","",178.5088,2.1171,180.3340,0.4575,0.0400,0.0227,-0.0001,-0.0004
922.00,"","","",178.5038,2.1664,180.3340,0.3050,0.0401,0.0227,0.0000,-0.0004
924.00,"","","",178.4891,2.2156,180.3493,0.0508,0.0401,0.0225,0.0000,-0.0005
926.00,"","","",178.4743,2.2648,180.3798,-0.2033,0.0401,0.0225,0.0000,-0.0005
928.00,"","","",178.4645,2.3633,180.3798,-0.4067,0.0404,0.0227,0.0001,-0.0005
930.00,"","","",178.4448,2.4125,180.3696,-0.6100,0.0402,0.0228,0.0000,-0.0004
932.00,"","","",178.4645,2.4618,180.3849,-0.8133,0.0401,0.0227,0.0000,-0.0005
934.00,"","","",178.4891,2.4125,180.3391,-0.9658,0.0401,0.0230,0.0000,-0.0003
936.00,"","","",178.4940,2.3141,180.3239,-1.1184,0.0402,0.0231,0.0000,-0.0002
938.00,"","","",178.4841,2.2648,180.3289,-1.2709,0.0402,0.0234,0.0000,-0.0001
940.00,"","","",178.4546,2.2648,180.3239,-1.4234,0.0401,0.0237,0.0000,0.0000
942.00,"","","",178.4497,2.2156,180.3137,-1.6267,0.0402,0.0236,0.0000,0.0000
944.00,"","","",178.4448,2.1664,180.2832,-1.6775,0.0402,0.0237,0.0000,0.0001
946.00,"","","",178.4152,2.2156,180.2527,-1.7284,0.0403,0.0236,0.0000,0.0000
948.00,"","","",178.4054,2.2648,180.2578,-1.6775,0.0400,0.0236,-0.0001,0.0000
950.00,"","","",178.3955,2.3141,180.2476,-1.5250,0.0399,0.0237,-0.0002,0.0001
952.00,"","","",178.3808,2.3633,180.2425,-1.3725,0.0400,0.0238,-0.0001,0.0001
954.00,"","","",178.3808,2.4125,180.2425,-1.1692,0.0401,0.0237,0.0000,0.0000
956.00,"","","",178.3857,2.4618,180.2374,-0.9658,0.0400,0.0236,-0.0001,0.0000
958.00,"","","",178.3906,2.5603,180.2324,-0.7625,0.0402,0.0237,0.0000,0.0001
960.00,"","","",178.3857,2.6095,180.2476,-0.5592,0.0401,0.0236,0.0000,0.0000
962.00,"","","",178.3758,2.7080,180.2527,-0.4575,0.0400,0.0237,-0.0001,0.0000
964.00,"","","",178.3709,2.8064,180.2730,-0.4575,0.0398,0.0236,-0.0002,0.0000
966.00,"","","",178.3660,2.8557,180.2629,-0.4067,0.0399,0.0235,-0.0002,0.0000
968.00,"","","",178.3414,2.9049,180.2273,-0.2542,0.0399,0.0237,-0.0001,0.0001
970.00,"","","",178.3364,2.9541,180.2222,-0.1017,0.0398,0.0239,-0.0002,0.0001
972.00,"","","",178.3512,2.9541,180.2171,0.1017,0.0400,0.0239,-0.0001,0.0002
974.00,"","","",178.3414,2.9541,180.1815,0.4067,0.0400,0.0240,-0.0001,0.0002
976.00,"","","",178.3315,2.9541,180.1815,0.7117,0.0400,0.0239,-0.0001,0.0002
978.00,"","","",178.3414,2.9541,180.2019,1.0167,0.0402,0.0238,0.0000,0.0001
980.00,"","","",178.3512,2.9541,180.1917,1.2709,0.0401,0.0240,0.0000,0.0002
982.00,"T 0.5","Both","",178.3561,2.9541,180.2069,1.4742,0.0404,0.0240,0.0001,0.0002
984.00,"","","",178.3315,2.9541,180.1968,1.6267,0.2019,0.0239,0.0806,0.0002
986.00,"","","",178.3315,2.9541,180.2171,1.7792,0.4867,0.0239,0.2226,0.0002
988.00,"","","",178.4201,2.7080,180.2527,1.8809,0.4951,0.0239,0.2268,0.0001
990.00,"","","",178.4989,2.3141,180.2171,2.0334,0.4914,0.0240,0.2250,0.0002
992.00,"","","",178.5432,1.8710,180.1764,2.2367,0.4878,0.0244,0.2231,0.0004
994.00,"","","",178.5580,1.4278,180.1612,2.4909,0.4848,0.3509,0.2216,0.1625
996.00,"","","",178.5728,0.9847,180.2527,2.3892,0.4823,0.5033,0.2204,0.2382
998.00,"","","",178.5580,0.5416,180.3391,2.0842,0.4791,0.5024,0.2188,0.2377
1000.00,"","","",178.5629,0.1477,180.3493,1.8300,0.4766,0.4984,0.2175,0.2357
1002.00,"","","",178.5728,-0.2954,180.3544,1.5250,0.4745,0.4950,0.2165,0.2340
1004.00,"","","",178.5678,-0.6401,180.3594,1.2200,0.4727,0.4918,0.2156,0.2325
1006.00,"","","",178.5580,-0.9847,180.3493,0.8642,0.4710,0.4889,0.2148,0.2310
1008.00,"","","",178.5285,-1.2309,180.3645,0.4575,0.4691,0.4861,0.2138,0.2296
